"device_id","origin_geoid","overlap_origin_lat","overlap_origin_long","destination_geoid","overlap_destination_lat","overlap_destination_long","start_timestamp","trend_time","trip_duration_sec","travel_mode","trend_wknd_week","trip_scaled_ratio"
"NWtpdXA2OHFhbjBybDo5NW92ZGtta2s2dWR1","1307700010060046",20.085433,-98.363922,"1307700010624006",20.079982,-98.360016,"2023-12-10T11:13:17","morning",276,"cycling","weekend",7.34
"aXU4ZjRtZnJqbjFqOmJtaG5nYjBobDdtcjE=","130100324",20.055993,-99.276774,"130100324",20.056036,-99.276946,"2023-10-06T11:53:09","morning",1989,"cycling","weekday",13.39
"YjhoNGVmNGNhb3Zzbzo2cGw0MTZhczJzaWYx","1304800011940013",20.112126,-98.784621,"1304800012544033",20.095861,-98.789299,"2023-10-30T01:13:07","night",250,"driving","weekday",11.53
"NDFxcDc1OWMzZzliMTplc282cDE2cnNnbGI=","1304800011550019",20.090153,-98.772562,"1304800010406001",20.105259,-98.772004,"2023-06-05T12:35:06","afternoon",551,"cycling","weekday",20.35
"NGk4MXVmNnNpdWtncTozNWN2MzZjOHRlNXFx","1306500010093007",20.098779,-99.150131,"1301000010023005",20.057194,-99.223387,"2023-10-05T09:45:28","morning",766,"driving","weekday",23.02
"MWFoZjhnOWoyb2dvbzo1aWZ0OGtkdnQ0cGIz","1300300010368012",20.27529,-98.939073,"1300300010368006",20.275247,-98.939245,"2023-12-17T11:28:29","morning",21,"walking","weekend",1
"NDVla2IzM2g5MzNnZjozdmgzN3NkZWo0cWFx","1306700080416014",20.194223,-99.272912,"130760044",20.069854,-99.372261,"2023-12-26T15:13:43","afternoon",2396,"driving","weekday",8.59
"Y2VrNzAwYjAzOTM2MTppdjRwbWdhcmRjZzE=","130220024",20.017798,-98.723037,"130510577",20.013421,-98.726256,"2023-12-14T10:33:18","morning",578,"walking","weekday",3.1
"MW9iMTNyNHJodmVnYzphZHQxdmY5cWJwcWlk","1303900010074010",20.138004,-98.680294,"1304800010529008",20.088909,-98.767626,"2023-12-13T01:28:11","night",967,"driving","weekday",29.01
"ZTN0bnQ3ZGNuZjBqbjoyYnQwOGNqNGo0YmRw","1306900420567023",19.870341,-98.935812,"1306900420656002",19.858282,-98.935769,"2023-12-08T19:11:10","evening",138,"driving","weekday",28.18
"amloZ2JzaDJnOWwwOmZrcTV2MDRmcXQxdjk=","1307600220059015",20.031788,-99.339001,"1307600220059015",20.038612,-99.340074,"2023-12-20T08:33:26","morning",1439,"walking","weekday",8.29
"Y2lqcGowbG5oNXQ4OmJyZXUzOWE1MjdsN2Y=","1304800010622002",20.058696,-98.781402,"1307700100431016",20.110624,-98.411815,"2023-12-27T15:04:55","afternoon",2795,"driving","weekday",8.29
"MjlzY3Voamtsb3RqbDpka25xMTFjc2Z1cG0x","130240048",20.199201,-98.465931,"130240048",20.208857,-98.547256,"2023-10-15T14:32:49","afternoon",760,"driving","weekend",6.14
"aTYybm8za2oxNTI4OjFxMzUzdWRwY3Jta20=","1300300120086031",20.281341,-98.963192,"13030005A",20.397127,-99.094512,"2023-10-21T02:17:49","night",1009,"driving","weekend",15.69
"Mzg0ZmNxNHBwNjI2NTplcDc4bmJxZWlmMmdi","1304100060015017",20.274775,-99.154551,"130410035002A002",20.217955,-99.245403,"2023-10-25T05:03:22","night",890,"driving","weekday",35.93
"ZG0xajI0OHNsNjQwbDphNXNyaHVqMXRxMHF2","1303000010204005",20.484331,-99.219396,"1303000010350001",20.485704,-99.205363,"2023-12-01T14:29:14","afternoon",225,"driving","weekday",9.25
"YnJsdW1tbm9vaWRtbzoya2JmazA0bzMyZ3A2","130300026",20.53231,-99.219697,"1304800010389039",20.104015,-98.767025,"2023-06-02T13:32:11","afternoon",4341,"driving","weekday",26.01
